time_ms,value
1267609,993
1267709,993
1267809,993
1267909,993
1268009,993
1268109,993
1268209,993
1268309,993
1268409,993
1268509,991
1268609,993
1268709,994
1268809,994
1268909,993
1269009,993
1269109,992
1269209,992
1269309,993
1269409,993
1269509,993
1269609,993
1269709,993
1269809,994
1269909,993
1270009,993
1270109,992
1270209,993
1270309,992
1270409,992
1270509,993
1270609,994
1270709,993
1270809,994
1270909,993
1271009,993
1271109,993
1271209,993
1271309,993
1271409,994
1271509,993
1271609,994
1271709,993
1271809,993
1271909,993
1272009,992
1272109,992
1272209,994
1272309,992
1272409,994
1272509,993
1272609,993
1272709,993
1272809,994
1272909,993
1273009,993
1273109,993
1273209,992
1273309,994
1273409,993
1273509,993
1273609,993
1273709,993
1273809,994
1273909,993
1274009,993
1274109,994
1274209,993
1274309,992
1274409,993
1274509,993
1274609,994
1274709,993
1274809,993
1274909,993
1275009,993
1275109,993
1275209,993
1275309,993
1275409,992
1275509,992
1275609,992
1275709,992
1275809,993
1275909,994
1276009,993
1276109,992
1276209,993
1276309,993
1276409,993
1276509,993
1276609,992
1276709,993
1276809,993
1276909,994
1277009,993
1277109,993
1277209,993
1277309,993
1277409,992
1277509,993
1277609,993
1277709,993
1277809,993
1277909,992
1278009,993
1278109,993
1278209,994
1278309,993
1278409,993
1278509,993
1278609,992
1278709,993
1278809,993
1278909,993
1279009,992
1279109,992
1279209,992
1279309,993
1279409,992
1279509,994
1279609,994
1279709,993
1279809,992
1279909,994
1280009,993
1280109,993
1280209,993
1280309,993
1280409,992
1280509,993
1280609,992
1280709,993
1280809,993
1280909,993
1281009,993
1281109,993
1281209,993
1281309,994
1281409,993
1281509,992
1281609,993
1281709,993
1281809,993
1281909,993
1282009,994
1282109,994
1282209,994
1282309,993
1282409,993
1282509,992
1282609,991
1282709,994
1282809,993
1282909,993
1283009,992
1283109,993
1283209,993
1283309,992
1283409,993
1283509,992
1283609,994
1283709,993
1283809,993
1283909,992
1284009,993
1284109,993
1284209,993
1284309,994
1284409,993
1284509,993
1284609,993
1284709,994
1284809,994
1284909,992
1285009,992
1285109,993
1285209,992
1285309,993
1285409,992
1285509,993
1285609,992
1285709,992
1285809,994
1285909,993
1286009,994
1286109,993
1286209,993
1286309,993
1286409,993
1286509,993
1286609,993
1286709,993
1286809,993
1286909,993
1287009,993
1287109,993
1287209,993
1287309,993
1287409,993
1287509,993
1287609,992
1287709,993
1287809,993
1287909,993
1288009,993
1288109,993
1288209,993
1288309,993
